RESPONDENT,MARITAL,AGE,EDUC,SEX,SIBS,CHILDS,HOMPOP,PRESTG80,INCOME06,RINCOM06,SATFIN,HRS1,DWELOWN,SEI,HAPMAR,EVSTRAY,SPANKING,ABANY,ABDEFCTW,MARHOMO,HAPPY,HEALTH,LIFE,LETDIE1,OWNGUN,NEWS,TVHOURS,FEAR,PARTYID,POLVIEWS,NATENVIR,NATHEAL,NATCRIME,NATEDUC,NATARMS,NATAID,NATFARE,NATSOC,NATCHLD,NATSCI,NATFAREY,CAPPUN,GUNLAW,COURTS,GRASS,FEJOBAFF,DISCAFFM,DISCAFFW,INCGAP,TAXRICH,RELIG,DENOM,FUND,ATTEND,RELITEN,POSTLIFE,PRAY,RELEXP,SEXEDUC,PREMARSX,TEENSEX,XMARSEX,PORNLAW,XMOVIE,PARTNERS,SEXFREQ,SEXORNT,FECHLD,FEPRESCH,FEFAM
1736,1,44,18,2,5,2,4,33,24,0,1,40,1,50.5,1,0,2,7,4,0,2,0,0,0,7,4,3,7,0,4,1,1,1,1,8,2,1,1,1,1,0,1,7,2,0,4,2,0,0,0,1,14,1,1,2,1,2,0,1,1,1,0,1,0,1,2,3,1,3,3
1737,1,56,12,1,5,1,3,38,22,19,2,50,1,30.4,2,0,1,1,0,5,2,2,2,1,1,2,4,0,2,8,2,1,3,3,3,3,3,1,2,2,0,1,0,2,7,4,2,0,0,0,4,0,3,0,4,0,6,0,1,4,1,1,0,7,1,8,3,1,3,3
1738,1,41,20,1,2,4,6,49,23,23,1,40,1,-1,1,7,2,7,1,0,1,0,0,0,7,5,0,7,4,6,2,2,1,2,2,2,3,2,2,1,0,1,7,9,0,4,2,0,0,0,1,14,1,8,1,1,1,1,1,1,1,0,2,0,-1,-1,0,3,2,3
1739,1,50,12,1,1,2,3,74,23,22,2,40,1,83.7,2,1,2,7,3,0,2,0,0,1,7,3,1,7,2,4,1,2,2,2,3,3,2,1,2,2,0,1,7,3,0,3,2,0,0,0,4,0,3,2,4,8,4,0,1,3,2,0,2,1,1,2,3,2,3,8
1740,1,81,11,1,3,4,2,23,3,2,1,-1,1,26.5,1,0,1,0,0,5,1,3,2,8,1,1,1,0,0,6,2,2,2,2,2,2,2,1,2,2,0,1,1,2,7,1,4,0,0,0,1,18,1,4,2,0,1,0,8,4,1,1,0,7,1,0,3,3,3,8
1741,3,68,9,1,2,3,1,39,1,0,3,-1,1,34.2,0,0,1,0,0,5,2,4,2,0,1,1,1,0,3,6,3,3,1,3,3,3,3,2,1,3,0,1,1,2,7,9,3,0,0,0,1,28,3,7,1,8,2,1,1,4,1,1,0,7,0,0,3,3,1,1
1742,1,44,18,1,4,5,5,53,25,25,1,60,1,81,1,0,1,1,0,5,1,2,1,7,1,1,1,0,6,6,0,0,0,0,0,0,0,2,2,1,2,1,0,2,7,0,0,3,0,0,1,32,1,5,1,1,2,0,1,4,1,1,0,7,1,5,3,2,3,3
1743,1,51,14,2,3,2,2,57,22,0,1,-1,1,57.1,1,0,4,0,0,5,1,2,1,7,0,3,4,0,6,6,0,0,0,0,0,0,0,2,2,1,2,0,0,8,7,0,0,4,0,0,1,30,2,0,1,1,1,0,1,4,2,1,0,7,1,2,3,1,4,2
1744,1,36,16,1,6,3,5,51,98,98,2,40,1,63.5,1,0,2,1,0,1,3,2,2,7,9,1,3,0,5,4,0,0,0,0,0,0,0,2,2,1,2,1,1,2,7,0,0,2,0,0,10,0,3,5,9,1,3,1,1,4,1,1,0,7,1,4,3,1,3,3
1745,3,47,12,1,9,2,2,34,16,16,2,47,2,48.6,0,0,2,0,0,5,3,3,2,7,1,3,1,0,3,5,0,0,0,0,0,0,0,8,1,2,1,1,1,2,7,0,0,2,0,0,1,60,1,8,3,1,2,1,0,1,1,1,0,7,1,5,3,3,2,2
1746,1,43,12,2,1,1,2,46,20,14,2,40,1,38.4,1,1,2,0,0,5,1,2,1,7,1,2,2,0,5,4,0,0,0,0,0,0,0,1,2,2,1,1,1,2,7,0,0,2,0,0,1,10,1,3,3,1,1,1,1,1,1,1,0,7,1,5,3,1,3,2
1747,2,60,10,2,8,8,1,0,14,99,2,28,1,-1,0,7,2,0,0,5,2,1,1,7,0,5,98,1,3,7,0,0,0,0,0,0,0,1,1,1,1,0,1,2,7,0,0,4,0,0,1,20,2,7,1,1,1,1,1,1,1,1,0,7,-1,-1,0,3,1,1
1748,1,52,11,1,4,2,4,30,21,16,1,20,0,31.5,2,0,0,1,4,5,2,2,3,7,1,0,-1,0,5,5,0,0,0,0,0,0,0,1,3,2,3,1,0,2,0,0,0,0,3,3,1,14,1,0,2,1,5,0,7,0,0,1,2,0,1,4,3,0,0,0
