RESPONDENT,MARITAL,AGE,EDUC,SEX,SIBS,CHILDS,HOMPOP,PRESTG80,INCOME06,RINCOM06,SATFIN,HRS1,DWELOWN,SEI,HAPMAR,EVSTRAY,SPANKING,ABANY,ABDEFCTW,MARHOMO,HAPPY,HEALTH,LIFE,LETDIE1,OWNGUN,NEWS,TVHOURS,FEAR,PARTYID,POLVIEWS,NATENVIR,NATHEAL,NATCRIME,NATEDUC,NATARMS,NATAID,NATFARE,NATSOC,NATCHLD,NATSCI,NATFAREY,CAPPUN,GUNLAW,COURTS,GRASS,FEJOBAFF,DISCAFFM,DISCAFFW,INCGAP,TAXRICH,RELIG,DENOM,FUND,ATTEND,RELITEN,POSTLIFE,PRAY,RELEXP,SEXEDUC,PREMARSX,TEENSEX,XMARSEX,PORNLAW,XMOVIE,PARTNERS,SEXFREQ,SEXORNT,FECHLD,FEPRESCH,FEFAM
1,2,49,12,1,0,5,2,22,7,0,3,-1,2,28.4,0,1,4,7,4,0,3,0,0,1,7,1,8,7,0,2,1,1,1,1,1,3,2,1,1,1,0,1,7,3,0,1,3,0,0,0,2,0,2,2,1,0,1,1,1,4,1,0,2,1,0,0,3,2,3,2
2,1,48,20,1,1,2,1,65,23,21,2,40,2,76.4,3,0,4,1,0,1,2,1,1,1,0,1,1,0,3,4,1,2,1,1,1,3,2,2,2,2,0,0,1,2,7,3,2,0,0,0,1,50,3,0,2,0,6,0,1,4,3,3,0,7,1,5,3,2,3,3
3,1,47,13,1,1,1,2,50,18,18,2,35,2,37.8,1,9,1,7,4,0,2,0,0,1,7,2,2,7,0,4,1,1,1,1,2,3,1,1,1,2,0,0,7,2,1,3,2,0,0,0,4,0,3,0,4,0,6,0,1,1,1,0,2,0,1,6,3,2,3,3
4,3,32,10,1,2,1,3,36,17,11,3,-1,0,35.1,0,1,0,1,4,1,3,2,1,7,0,0,-1,1,0,4,1,1,1,1,1,1,2,1,1,2,0,0,1,2,1,0,0,0,1,5,1,18,1,3,1,1,4,1,7,0,0,1,2,1,2,5,3,0,0,0
5,4,37,12,2,2,2,3,42,16,16,2,43,1,29.3,0,0,2,1,0,1,2,2,2,1,0,3,4,0,2,2,1,1,1,2,3,2,1,1,1,3,0,1,1,2,7,4,2,0,0,0,1,18,1,2,3,0,3,1,1,3,1,1,0,7,3,3,3,2,2,3
6,1,72,16,1,3,2,2,71,98,0,2,-1,1,87.9,2,7,2,7,8,0,1,0,0,8,7,1,2,7,2,4,2,1,8,1,3,8,2,2,1,2,0,1,7,8,1,1,3,0,0,0,2,0,2,4,2,1,4,0,8,4,3,0,2,1,-1,-1,0,1,2,3
7,5,21,12,2,2,0,5,29,98,0,1,40,0,33.1,0,7,0,0,3,8,2,1,1,7,0,0,-1,0,3,3,3,3,1,2,2,1,3,1,1,3,0,0,1,2,0,0,0,0,8,1,2,0,2,2,1,1,3,1,7,0,0,3,2,0,1,1,3,0,0,0
8,5,36,12,2,6,1,5,65,98,98,1,30,2,76.4,0,7,1,7,4,0,1,0,0,1,7,1,2,7,2,3,2,2,2,2,3,2,3,1,1,1,0,0,7,2,1,2,1,0,0,0,4,0,3,4,4,1,2,0,0,3,1,0,2,0,1,9,3,1,1,1
9,2,48,14,2,3,1,1,57,98,98,3,40,2,80.9,0,9,1,8,0,3,3,2,8,0,0,1,2,1,3,2,1,1,1,1,8,3,3,1,1,1,0,1,1,3,7,1,4,0,0,0,2,0,2,6,2,1,2,0,1,2,1,1,0,7,1,0,3,1,3,2
10,3,56,9,2,12,1,1,51,98,0,2,-1,0,36.5,0,0,0,0,1,3,3,3,2,7,0,0,-1,0,0,4,1,1,1,1,8,1,8,1,1,1,0,1,8,3,8,0,0,0,2,1,1,60,2,0,2,1,2,0,7,0,0,9,2,0,1,2,3,0,0,0
11,1,62,17,1,4,2,2,69,25,18,1,45,2,73.9,1,1,2,7,4,0,2,0,0,0,7,2,3,7,1,2,1,1,1,1,3,3,1,2,1,2,0,0,7,3,8,2,3,0,0,0,1,10,1,8,3,1,1,1,1,1,1,0,2,0,1,5,3,1,3,3
12,5,40,19,1,8,0,1,59,23,23,2,40,0,73.3,0,7,0,1,4,3,3,2,2,7,0,0,-1,1,1,5,1,1,1,1,3,1,2,1,1,1,0,0,1,1,8,0,0,0,1,4,4,0,3,0,4,8,6,1,7,0,0,2,2,1,3,4,3,0,0,0
13,9,62,18,2,1,1,2,66,13,0,3,-1,0,80.3,9,9,0,1,4,1,1,2,1,7,0,0,-1,0,0,3,1,1,1,1,1,3,1,1,1,1,0,0,1,3,8,0,0,0,3,5,1,50,3,2,1,1,8,1,7,0,0,2,2,0,0,0,8,0,0,0
14,1,71,16,1,7,4,2,60,17,0,1,-1,0,63.2,1,0,0,1,4,3,1,2,1,7,0,0,-1,0,2,4,1,3,2,1,3,3,1,1,1,1,0,0,1,3,1,0,0,0,2,2,4,0,3,0,4,1,2,1,7,0,0,2,2,0,1,3,3,0,0,0
15,5,58,16,2,2,0,1,33,98,0,2,-1,0,50.5,0,7,0,1,4,4,2,3,2,7,0,0,-1,1,2,4,1,1,1,1,1,3,2,1,1,1,0,8,1,8,1,0,0,0,2,2,1,14,1,5,2,1,2,0,7,0,0,1,2,1,-1,-1,0,0,0,0
16,1,34,18,2,2,4,6,74,98,0,3,-1,2,87,1,7,8,0,0,5,2,3,3,0,0,2,5,1,5,4,1,1,1,1,2,1,1,8,2,2,0,8,1,3,7,8,4,0,0,0,9,0,9,0,9,1,1,1,1,1,1,1,0,7,-1,-1,0,2,1,1
17,5,26,15,1,3,0,2,38,21,17,2,55,2,54.5,0,7,2,0,0,5,2,1,2,1,0,1,0,0,3,5,1,1,8,1,3,2,8,1,8,8,0,1,1,2,7,2,2,0,0,0,9,0,9,5,9,1,3,0,1,2,3,1,0,7,4,3,3,1,2,1
18,1,33,13,2,8,4,6,51,20,0,2,-1,1,63.5,1,0,3,7,1,0,1,0,0,0,7,4,0,7,6,6,2,2,2,1,1,3,3,1,3,3,0,1,7,2,1,3,3,0,0,0,3,0,3,3,1,1,2,1,9,8,8,0,1,8,1,5,3,4,1,1
19,5,36,16,1,0,0,1,53,25,25,1,20,0,81,0,7,0,1,4,2,2,1,1,7,0,0,-1,0,3,1,1,1,1,1,3,3,3,1,1,1,0,0,1,2,1,0,0,0,4,1,2,0,2,1,3,1,2,1,7,0,0,1,2,1,2,5,9,0,0,0
20,1,37,14,1,2,2,4,42,19,15,3,40,2,54.2,2,0,2,1,0,2,3,2,8,1,0,3,2,1,3,3,1,2,1,1,3,3,1,1,2,2,0,0,1,2,7,8,2,0,0,0,4,0,3,2,4,1,6,0,1,4,4,3,0,7,1,5,3,2,2,2
21,1,52,12,1,4,3,2,51,25,0,1,-1,0,63.5,1,7,0,1,4,1,1,3,1,7,0,0,-1,0,4,4,2,2,1,1,1,3,3,1,1,3,0,1,1,2,1,0,0,0,2,4,2,0,2,0,3,1,2,0,7,0,0,1,2,0,-1,-1,0,0,0,0
22,3,61,12,2,12,3,3,42,18,16,2,35,0,36.1,0,0,0,8,4,2,2,3,2,7,0,0,-1,1,1,6,0,0,0,0,0,0,0,1,1,1,1,1,1,2,1,0,0,0,4,2,2,0,2,3,2,1,2,0,7,0,0,1,1,0,0,0,3,0,0,0
23,1,63,12,2,3,2,2,17,20,0,2,-1,0,29,1,0,0,0,4,2,2,4,2,7,0,0,-1,1,5,4,0,0,0,0,0,0,0,1,2,2,1,1,1,2,0,0,0,0,2,5,2,0,2,3,2,1,2,0,7,0,0,1,2,0,1,1,3,0,0,0
24,1,74,13,2,4,2,4,65,98,0,2,-1,1,76.4,2,9,2,0,0,8,2,2,1,7,0,1,4,1,6,6,0,0,0,0,0,0,0,1,1,2,1,0,1,3,7,0,0,2,0,0,2,0,2,7,3,1,2,0,0,1,1,1,0,7,1,9,9,1,3,3
25,2,70,13,2,5,3,1,0,98,0,3,-1,0,-1,0,7,0,0,4,2,2,1,1,7,0,0,-1,0,0,6,0,0,0,0,0,0,0,1,1,1,1,1,1,2,1,0,0,0,2,1,2,0,2,0,2,8,4,1,7,0,0,2,1,0,-1,-1,0,0,0,0
26,1,38,12,2,4,2,4,45,98,0,2,-1,0,39.6,1,7,0,0,4,2,1,2,1,7,1,0,-1,0,2,3,0,0,0,0,0,0,0,1,1,1,1,1,1,2,0,0,0,0,1,1,2,0,2,7,1,1,2,1,7,0,0,1,2,0,-1,-1,0,0,0,0
27,4,32,14,1,3,2,2,22,17,17,2,40,0,28.4,0,0,0,0,1,3,2,1,1,7,0,0,-1,1,1,4,0,0,0,0,0,0,0,1,1,3,1,0,1,2,0,0,0,0,3,8,11,70,2,5,9,1,3,0,7,0,0,2,2,0,1,5,3,0,0,0
28,5,42,18,1,2,0,2,65,25,25,1,50,1,76.4,0,7,3,7,4,0,2,0,0,7,7,2,3,7,2,3,0,0,0,0,0,0,0,3,2,1,1,0,7,3,0,0,0,2,2,2,7,0,9,2,9,1,4,0,1,4,1,0,2,1,1,4,3,2,2,4
29,4,41,14,1,6,5,1,51,19,19,3,80,0,63.5,0,1,0,1,4,3,2,2,1,7,0,0,-1,0,0,4,0,0,0,0,0,0,0,2,1,3,1,1,0,3,1,0,0,0,2,3,9,0,9,5,9,1,1,1,7,0,0,2,2,1,2,5,3,0,0,0
30,5,45,18,1,1,0,1,86,21,21,1,3,1,97.2,0,7,2,0,0,1,1,1,1,7,0,4,1,0,0,2,0,0,0,0,0,0,0,1,8,8,1,8,1,3,7,0,0,2,0,0,3,0,3,3,2,1,5,0,1,4,2,3,0,7,9,3,1,1,3,3
31,5,78,18,2,1,0,1,75,21,98,2,-1,1,92.3,0,7,9,7,4,0,9,0,0,7,7,1,2,7,0,2,0,0,0,0,0,0,0,2,1,1,1,0,7,8,8,0,0,2,1,2,3,0,3,0,9,0,6,0,1,4,3,0,2,8,-1,-1,0,2,3,3
32,1,54,12,2,11,2,3,29,98,98,1,40,1,30.8,2,0,4,0,0,4,2,2,1,7,0,1,2,1,1,4,0,0,0,0,0,0,0,2,1,3,3,0,1,2,7,0,0,3,0,0,2,0,2,7,1,1,2,1,1,4,1,1,0,7,1,9,3,3,3,2
33,4,49,10,1,7,2,3,42,98,98,2,40,2,32.3,0,0,2,8,0,3,2,3,2,0,0,2,3,0,3,8,8,8,1,2,1,1,1,2,3,2,0,1,1,2,7,3,2,0,0,0,2,0,2,3,3,8,3,0,8,8,2,3,0,7,0,9,3,3,3,2
34,1,66,12,2,4,2,1,33,13,13,8,38,2,20.1,1,0,8,0,0,8,1,2,1,0,0,5,2,1,6,4,8,8,8,1,3,8,3,1,2,8,0,0,1,8,7,2,8,0,0,0,2,0,2,0,1,0,2,0,0,1,1,1,0,7,1,8,3,2,2,2
35,9,43,16,1,1,9,1,0,98,99,3,99,2,-1,9,9,8,0,0,5,3,1,8,8,9,2,1,0,3,9,1,1,1,1,3,3,1,1,1,3,0,9,0,3,7,1,2,0,0,0,11,70,2,9,9,1,2,0,1,8,1,9,0,7,9,9,3,2,4,2
36,5,37,16,2,2,0,1,51,21,21,1,50,2,63.5,0,7,4,7,8,0,2,0,0,1,7,4,3,7,1,6,1,1,2,1,3,1,2,1,8,8,0,0,7,2,0,1,4,0,0,0,10,0,3,2,9,1,2,0,1,4,1,0,2,0,1,8,3,2,3,3
37,1,30,16,2,1,1,3,44,98,98,2,40,2,50.7,1,7,3,8,0,3,1,1,2,8,0,4,2,0,3,8,1,8,8,2,2,2,8,1,1,1,0,8,1,8,7,4,8,0,0,0,9,0,9,0,9,8,8,0,1,3,1,1,0,7,-1,-1,0,4,3,4
38,1,53,14,2,3,2,4,22,98,98,2,22,1,37.4,2,0,1,1,0,1,2,2,1,1,0,2,1,0,3,4,1,1,1,1,2,2,2,2,1,1,0,0,1,2,7,3,8,0,0,0,1,60,3,2,9,1,2,1,1,4,1,1,0,7,1,3,3,2,4,4
39,1,78,16,2,1,1,2,36,98,0,1,-1,0,26.4,1,7,0,1,4,5,1,3,1,7,0,0,-1,0,4,6,1,1,1,1,2,3,8,2,8,8,0,1,1,2,0,0,0,0,2,2,10,0,3,3,9,8,2,0,7,0,0,1,2,0,-1,-1,0,0,0,0
40,1,38,16,2,2,0,2,63,21,0,2,-1,1,84.7,1,0,2,8,0,3,1,2,1,8,0,2,4,1,5,5,1,1,1,1,2,2,1,1,8,2,0,1,1,8,7,8,3,0,0,0,1,70,2,7,1,1,2,1,0,1,1,1,0,7,1,2,3,2,8,8
41,1,64,14,2,5,2,2,44,98,98,2,-1,0,50.7,2,7,0,1,4,5,2,2,2,7,0,0,-1,0,1,4,8,1,8,1,8,2,3,1,1,3,0,0,1,2,0,0,0,0,3,2,2,0,2,7,3,1,1,0,7,0,0,1,2,0,-1,-1,0,0,0,0
42,1,60,10,2,5,4,2,28,98,0,2,-1,1,32.4,2,0,3,0,0,5,1,2,2,0,0,3,1,0,3,2,1,1,1,1,1,3,3,1,2,2,0,1,1,2,7,2,2,0,0,0,1,31,2,0,2,8,3,0,1,4,1,1,0,7,1,2,3,1,4,4
43,3,55,13,2,1,2,2,51,98,98,1,40,0,63.5,0,0,0,1,3,3,2,2,1,7,0,0,-1,1,9,4,1,1,1,1,3,2,2,2,1,3,0,8,1,2,8,0,0,0,4,2,2,0,2,4,3,1,2,0,7,0,0,1,1,0,1,2,3,0,0,0
44,1,28,16,2,1,0,2,48,98,98,2,40,0,60.4,1,0,0,1,4,1,1,1,1,7,0,0,-1,1,2,4,1,2,2,1,3,3,3,1,2,1,0,1,1,8,1,0,0,0,2,3,2,0,2,5,3,8,3,0,7,0,0,1,2,0,1,4,3,0,0,0
45,5,46,15,2,5,7,6,51,98,0,2,-1,2,63.5,0,7,4,7,1,0,2,0,0,8,7,1,6,7,1,4,1,2,2,1,2,2,1,2,1,2,0,8,7,2,0,1,4,0,0,0,1,14,2,4,3,0,2,0,1,4,4,0,1,0,0,0,3,2,3,8
46,1,38,18,1,2,2,4,51,23,23,2,45,1,63.5,1,0,3,1,0,2,1,2,1,1,0,1,1,0,0,4,1,1,1,1,3,1,1,1,1,2,0,1,1,3,7,8,2,0,0,0,7,0,9,4,9,1,2,1,1,8,1,1,0,7,0,4,3,1,3,3
47,5,55,20,2,3,0,1,69,22,22,2,60,1,82.7,0,7,3,1,0,3,2,2,1,0,0,1,1,1,1,5,1,1,1,1,3,3,3,1,1,2,0,1,1,2,7,4,2,0,0,0,2,0,2,7,1,1,2,1,1,4,1,1,0,7,1,3,3,2,3,4
48,1,39,16,2,1,2,4,44,25,14,2,32,1,50.7,1,0,3,7,4,0,1,0,0,1,7,5,2,7,1,3,1,1,1,1,2,3,3,1,1,1,0,1,7,3,0,1,2,0,0,0,4,0,3,0,4,0,6,0,1,4,3,0,2,0,1,9,3,2,3,3
49,5,39,14,2,1,2,3,32,15,15,3,-1,2,29.8,0,7,2,7,3,0,3,0,0,1,7,2,6,7,4,2,2,1,2,2,3,3,1,2,2,2,0,1,7,2,1,1,2,0,0,0,2,0,2,2,2,0,5,0,1,3,2,0,2,1,1,6,3,3,2,2
50,3,44,18,1,2,2,1,0,21,99,1,50,2,-1,0,8,1,7,4,0,2,0,0,1,7,1,2,7,6,7,1,3,2,3,1,3,3,3,1,2,0,0,7,2,1,4,2,0,0,0,1,60,3,2,3,1,5,0,1,4,1,0,3,0,98,8,8,2,2,2
51,1,60,16,2,2,2,2,49,20,18,2,32,1,68.1,2,0,2,7,3,0,2,0,0,1,7,1,2,7,6,5,1,1,1,1,1,2,2,1,1,2,0,0,7,3,0,1,3,0,0,0,2,0,2,7,1,1,2,0,1,3,1,0,1,0,1,3,3,2,3,3
52,1,34,14,2,3,2,4,49,25,25,2,30,0,64.2,1,0,0,1,4,2,1,1,1,7,1,0,-1,1,6,5,1,1,1,1,3,3,3,1,2,2,0,1,1,2,0,0,0,0,4,2,2,0,2,0,2,1,4,0,7,0,0,1,2,0,1,9,3,0,0,0
53,1,53,16,2,2,3,2,47,25,0,1,-1,0,60.6,2,0,0,0,2,1,2,1,1,7,0,0,-1,1,3,3,1,1,1,1,3,3,8,1,8,3,0,0,1,2,1,0,0,0,1,5,1,60,3,7,1,1,2,1,7,0,0,1,2,0,1,5,3,0,0,0
54,5,22,15,1,1,0,1,65,9,3,2,16,0,76.4,0,7,0,1,4,2,2,2,2,7,0,0,-1,0,2,4,1,1,1,1,3,1,1,1,1,1,0,0,1,2,1,0,0,0,4,4,2,0,2,3,2,8,5,0,7,0,0,2,2,0,2,4,3,0,0,0
55,1,42,16,2,1,2,3,40,20,17,2,40,1,53.3,2,0,2,7,4,0,2,0,0,0,7,3,2,7,5,4,1,1,2,1,3,3,3,1,1,2,0,1,7,2,0,3,3,0,0,0,2,0,2,5,2,0,6,0,1,4,1,0,1,0,1,9,3,1,3,3
56,5,25,17,1,1,0,2,38,21,15,3,46,1,40.1,0,7,1,7,2,0,2,0,0,7,7,2,2,7,0,1,0,0,0,0,0,0,0,1,1,2,1,1,7,2,0,0,0,2,3,2,1,60,1,7,1,1,1,1,1,2,1,0,2,0,1,4,3,2,3,2
57,3,50,16,1,0,2,3,49,24,23,1,30,1,64.1,0,1,2,7,4,0,2,0,0,7,7,1,2,7,0,4,0,0,0,0,0,0,0,1,1,2,1,1,7,2,1,0,0,2,3,1,1,18,1,7,2,1,2,1,1,4,1,0,2,1,2,4,3,2,3,3
58,5,24,12,1,4,0,2,45,16,14,3,-1,2,38.1,0,7,1,1,0,5,3,3,2,7,0,2,1,0,1,4,0,0,0,0,0,0,0,1,1,2,1,0,1,2,7,0,0,2,0,0,4,0,3,0,4,1,6,0,1,8,1,1,0,7,7,4,3,3,3,3
59,3,67,16,2,3,3,1,61,15,0,3,-1,1,82.7,0,1,2,7,4,0,3,0,0,7,7,2,4,7,0,4,0,0,0,0,0,0,0,1,1,1,1,0,7,8,1,0,0,2,2,1,1,48,3,0,2,1,1,0,1,4,2,0,1,0,0,0,3,2,3,2
60,5,27,14,1,2,0,4,39,19,15,3,55,2,45.3,0,7,2,7,4,0,2,0,0,7,7,2,6,7,3,3,0,0,0,0,0,0,0,1,2,1,1,0,7,1,1,0,0,2,2,1,1,18,1,2,2,0,1,0,1,3,1,0,2,1,6,5,3,4,3,3
61,1,65,20,1,0,1,3,52,22,22,3,1,1,63.2,1,1,3,1,0,2,2,2,1,7,0,2,4,1,0,2,0,0,0,0,0,0,0,1,1,1,1,0,1,2,7,0,0,1,0,0,4,0,3,0,4,8,6,0,1,4,3,3,0,7,0,0,3,2,3,3
62,1,43,20,1,2,1,2,64,25,24,1,-1,1,85.1,1,0,3,1,0,2,1,2,1,7,0,1,1,1,0,3,0,0,0,0,0,0,0,1,1,1,1,0,1,1,7,0,0,2,0,0,3,0,3,4,1,1,3,1,1,4,2,1,0,7,1,3,3,1,3,4
63,5,26,12,1,2,0,2,35,9,0,3,60,2,29.2,0,7,1,7,4,0,2,0,0,7,7,1,2,7,1,2,0,0,0,0,0,0,0,1,1,3,1,1,7,2,1,0,0,1,2,5,1,14,1,4,2,1,1,1,0,4,1,0,1,1,1,6,3,1,3,4
64,5,43,9,1,4,2,1,51,14,14,3,40,2,63.5,0,7,2,1,0,1,2,2,1,7,0,1,5,1,1,2,0,0,0,0,0,0,0,1,2,2,1,1,1,2,7,0,0,8,0,0,4,0,3,0,4,0,6,0,1,4,3,2,0,7,2,5,3,1,3,2
65,4,62,19,2,2,2,1,64,98,0,2,-1,1,78.5,0,7,3,7,8,0,2,0,0,7,7,1,3,7,5,5,0,0,0,0,0,0,0,2,3,2,2,8,7,8,1,0,0,3,3,1,2,0,2,7,1,1,2,0,1,4,1,0,2,0,-1,-1,0,2,3,1
66,3,43,14,1,2,0,1,73,98,98,3,40,0,83.9,0,7,0,1,4,1,3,4,2,7,0,0,-1,0,0,4,0,0,0,0,0,0,0,1,1,2,3,1,1,8,1,0,0,0,1,1,2,0,2,5,2,1,3,0,7,0,0,1,1,0,-1,-1,0,0,0,0
67,5,50,12,1,5,0,1,31,8,8,2,72,2,27.5,0,7,1,1,0,5,3,1,2,7,0,5,1,1,1,2,0,0,0,0,0,0,0,2,2,1,1,0,1,2,7,0,0,2,0,0,2,0,2,1,1,0,2,0,1,1,1,1,0,7,1,2,3,2,3,2
68,1,65,12,2,6,1,2,39,98,0,1,-1,1,36.5,1,1,8,7,2,0,2,0,0,7,7,1,2,7,6,5,0,0,0,0,0,0,0,1,1,1,1,1,7,2,0,0,0,2,2,1,2,0,2,8,1,8,1,1,1,1,1,0,1,0,1,3,3,3,3,2
69,1,38,16,1,1,2,4,66,24,20,2,-1,0,80.3,2,0,0,1,4,3,2,1,1,7,0,0,-1,0,5,4,0,0,0,0,0,0,0,2,1,1,1,1,0,8,0,0,0,0,4,2,2,0,2,3,3,1,2,0,7,0,0,1,1,1,1,1,3,0,0,0
70,1,40,18,2,0,1,3,69,21,20,2,25,0,82.7,1,0,0,1,4,1,2,3,1,7,0,0,-1,0,0,4,0,0,0,0,0,0,0,1,1,1,1,0,1,2,1,0,0,0,2,4,3,0,3,0,2,1,2,1,7,0,0,1,2,1,1,4,3,0,0,0
71,3,45,12,2,6,2,1,57,11,11,3,-1,2,57.1,0,0,2,0,0,1,3,2,3,1,0,5,4,1,5,4,1,1,2,1,3,3,2,1,1,3,0,1,1,2,7,4,4,0,0,0,2,0,2,7,1,1,1,0,1,4,2,1,0,7,2,5,3,3,2,4
72,4,58,12,1,3,2,2,40,17,12,3,40,0,32.3,0,9,0,1,4,1,3,2,3,7,0,0,-1,0,2,2,2,1,3,2,3,3,2,1,2,3,0,0,0,1,1,0,0,0,1,5,2,0,2,0,2,8,2,0,7,0,0,2,2,0,0,1,3,0,0,0
73,3,56,16,2,4,2,2,28,25,0,2,-1,0,40,0,0,0,1,4,1,1,1,1,7,0,0,-1,0,5,4,1,1,1,1,1,3,1,1,1,1,0,1,1,2,1,0,0,0,4,1,5,0,9,1,9,1,1,1,7,0,0,1,2,1,1,1,3,0,0,0
74,2,61,12,1,21,2,1,30,18,18,3,40,1,29.4,0,0,2,7,1,0,2,0,0,0,7,2,4,7,1,4,1,1,2,1,1,3,2,1,1,2,0,1,7,2,1,1,3,0,0,0,1,14,1,0,2,1,6,0,1,4,4,0,1,1,0,0,3,2,3,3
75,1,28,12,2,2,2,4,45,98,0,2,-1,0,39.6,2,0,0,0,1,3,2,1,1,7,0,0,-1,0,5,4,1,2,2,1,2,3,2,2,2,3,0,1,1,8,1,0,0,0,3,1,2,0,2,7,1,1,2,0,7,0,0,1,2,1,1,4,3,0,0,0
76,1,64,12,2,2,2,2,50,22,0,1,-1,1,62.5,1,0,3,1,0,2,1,1,1,1,1,1,2,0,2,4,2,2,2,2,2,3,2,2,2,2,0,1,1,2,7,3,2,0,0,0,2,0,2,7,1,1,1,0,1,3,2,2,0,7,1,3,3,2,3,2
77,5,68,14,1,1,0,1,34,98,0,1,-1,1,37.7,0,7,4,0,0,2,3,2,1,1,0,2,1,0,0,2,2,1,2,2,2,3,1,2,2,2,0,1,1,3,7,4,2,0,0,0,1,60,2,2,2,1,3,0,1,2,3,1,0,7,0,0,3,3,2,2
78,5,35,12,2,1,1,2,59,20,20,3,43,0,73.6,0,7,0,1,4,2,3,2,2,7,0,0,-1,0,5,4,1,1,1,1,2,3,1,1,2,2,0,1,1,2,8,0,0,0,3,1,4,0,3,0,4,1,5,0,7,0,0,1,2,0,2,1,3,0,0,0
79,3,39,14,2,3,3,3,51,18,18,3,45,2,63.5,0,0,3,1,0,2,2,2,1,1,0,1,1,0,1,3,1,1,2,2,3,3,2,1,1,3,0,1,1,2,7,4,3,0,0,0,2,0,2,4,3,1,3,0,1,4,1,2,0,7,6,2,3,1,4,3
80,3,47,15,2,7,0,2,49,98,98,2,40,1,68.1,0,0,3,1,0,2,2,2,2,8,0,2,3,0,1,8,8,1,1,1,8,3,1,1,1,8,0,1,1,2,7,8,2,0,0,0,4,0,3,0,4,8,5,0,1,4,3,1,0,7,99,9,3,2,3,3
81,5,46,19,1,1,1,1,64,98,98,2,40,1,86.6,0,7,2,8,0,2,2,1,1,1,0,1,3,0,2,3,1,1,2,2,3,2,2,2,2,2,0,8,1,2,7,4,3,0,0,0,2,0,2,7,2,8,2,0,1,4,4,8,0,7,1,3,3,1,3,3
82,9,50,16,2,1,9,1,0,98,99,1,99,2,-1,9,9,4,7,3,0,3,0,0,1,7,4,4,7,2,4,2,1,1,1,3,3,2,2,2,1,0,1,7,2,0,3,3,0,0,0,1,60,9,7,1,1,1,1,1,1,1,0,1,0,0,0,9,3,2,3
83,3,50,16,1,2,0,2,74,20,18,2,40,0,83.7,0,1,0,1,4,5,3,2,2,7,0,0,-1,0,0,4,1,1,1,1,2,3,2,1,1,1,0,1,1,1,1,0,0,0,2,1,1,18,1,3,1,1,5,0,7,0,0,3,2,1,1,2,3,0,0,0
84,5,19,13,2,3,0,6,32,20,1,1,-1,1,38.9,0,7,2,0,0,4,2,1,2,0,0,1,2,0,0,2,1,1,1,1,3,1,2,1,1,1,0,1,1,2,7,1,2,0,0,0,1,10,1,5,2,1,2,1,1,2,1,1,0,7,1,5,3,2,3,3
85,1,60,11,1,8,3,5,24,9,9,3,40,1,29.2,2,0,2,7,4,0,2,0,0,1,7,1,4,7,1,4,1,1,1,1,1,1,1,1,1,1,0,8,7,2,0,1,3,0,0,0,1,60,1,2,2,8,2,0,0,8,1,0,2,0,1,9,3,2,8,3
86,1,51,14,2,1,3,3,29,24,0,2,-1,1,30.8,1,0,3,7,3,0,1,0,0,1,7,1,7,7,3,5,2,1,1,1,2,3,3,1,1,3,0,0,7,2,8,4,1,0,0,0,2,0,2,3,2,8,3,0,1,3,1,0,1,0,1,5,3,2,3,3
87,3,70,15,1,7,2,1,32,25,0,1,-1,1,38.9,0,0,3,7,4,0,2,0,0,0,7,5,4,7,4,6,1,1,1,1,3,3,8,1,1,1,0,8,7,3,0,4,3,0,0,0,2,0,2,1,2,8,5,0,1,3,2,0,2,0,1,4,3,3,2,2
88,5,40,13,1,2,0,2,36,98,98,2,40,0,29.5,0,7,0,0,2,4,2,2,2,7,0,0,-1,0,2,6,1,1,1,2,8,8,3,2,3,8,0,8,1,2,8,0,0,0,1,1,2,0,2,1,2,1,2,0,7,0,0,1,2,1,-1,-1,0,0,0,0
89,1,54,12,1,6,3,5,30,25,20,1,24,1,31.5,1,0,2,1,0,5,2,2,2,1,0,1,4,0,1,4,1,1,2,2,2,3,2,1,8,1,0,1,1,2,7,1,3,0,0,0,4,0,3,0,4,0,2,0,1,3,1,1,0,7,1,5,3,2,2,3
90,1,43,16,1,2,2,4,53,25,25,1,60,1,81,2,0,1,7,1,0,2,0,0,1,7,1,2,7,6,7,1,1,2,3,2,3,3,2,1,1,0,1,7,2,0,4,2,0,0,0,2,0,2,7,1,1,2,0,1,4,1,0,2,0,1,2,3,4,2,2
91,5,33,15,1,2,0,3,45,17,17,3,40,1,38.1,0,7,3,1,0,2,2,2,2,1,1,3,4,0,5,3,1,1,2,1,2,1,1,2,3,2,0,1,1,2,7,2,2,0,0,0,1,38,2,2,2,1,3,0,1,4,3,2,0,7,1,1,3,3,1,4
92,1,63,12,2,0,2,2,59,98,98,1,-1,1,73.6,1,7,2,0,0,2,1,2,2,7,0,1,3,0,1,4,0,0,0,0,0,0,0,1,1,2,2,9,1,2,7,0,0,2,0,0,2,0,2,5,1,1,3,0,1,3,1,1,0,7,-1,-1,0,1,3,3
93,1,60,13,2,2,2,3,42,22,16,3,20,0,63.5,2,7,0,0,8,3,2,2,1,7,0,0,-1,0,2,5,0,0,0,0,0,0,0,1,1,2,1,0,1,2,0,0,0,0,2,4,2,0,2,6,3,1,3,0,7,0,0,1,1,0,-1,-1,0,0,0,0
